method,data,accuracy
random forest,PCoA,0.7
random forest,PCoA,0.5333333333333333
random forest,PCoA,0.6666666666666666
random forest,PCoA,0.6333333333333333
random forest,PCoA,0.5333333333333333
random forest,PCoA,0.5
random forest,PCoA,0.6
random forest,PCoA,0.7
random forest,PCoA,0.5666666666666667
random forest,PCoA,0.6
random forest,PCoA,0.5666666666666667
random forest,PCoA,0.7333333333333333
random forest,PCoA,0.6
random forest,PCoA,0.6333333333333333
random forest,PCoA,0.5666666666666667
random forest,PCoA,0.6
random forest,PCoA,0.6666666666666666
random forest,PCoA,0.5333333333333333
random forest,PCoA,0.6
random forest,PCoA,0.6333333333333333
random forest,PCoA,0.43333333333333335
random forest,PCoA,0.6
random forest,PCoA,0.7
random forest,PCoA,0.5666666666666667
random forest,PCoA,0.7
random forest,PCoA,0.6333333333333333
random forest,PCoA,0.5666666666666667
random forest,PCoA,0.6333333333333333
random forest,PCoA,0.5333333333333333
random forest,PCoA,0.5
